ship_code,ship1,ship2,remarks,source_url
34AX,34AX,AJAXBANK L/V,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90WG,90WG,AKAD. ALEKSANDR KARPINSKY,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
15AK,15AK,AKADEMIK,ICES REQUEST RadioCallSign LZDA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AK,90AK,AKADEMIK A. KOVALEVSKIY,UEWJ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90BM,90BM,AKADEMIK ALEKSANDR NESMEYANOV,UBYK,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90BN,90BN,AKADEMIK ALEKSANDR VINOGRADOV,callSign UYEV,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AO,90AO,AKADEMIK ALEKSEY KRYLOV,HWA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AC,90AC,AKADEMIK ARKHANGELSKIY,UHPU,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AJ,90AJ,AKADEMIK BERG,UQAE,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AQ,90AQ,AKADEMIK FEDOROV (AKA AKADEMIK FYODOROV),UQYC,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90KD,90KD,AKADEMIK IOFFE,UKLP,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90KN,90KN,AKADEMIK KNIPOVICH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
CUKN,CUKN,AKADEMIK KNIPOVICH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AM,90AM,AKADEMIK KOROLEV,UHQS,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AU,90AU,AKADEMIK KURCHATOV,UBLF,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90LA,90LA,AKADEMIK M.A. LAVRENTYEV,UJFY,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90BP,90BP,AKADEMIK MSTISLAV KELDYSH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90NS,90NS,AKADEMIK NIKOLAY STRAKHOV,ICES REQUEST  (aka A.N. STRAKHOV) CallSign UVXJ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90JT,90JT,AKADEMIK OBRUCHEV,ICES REQUEST  20Sep58 to 29May59,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
907W,907W,AKADEMIK PETROVSKII,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AV,90AV,AKADEMIK SERGEY VAVILOV,UKOC,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90SG,90SG,AKADEMIK SERGEY VAVILOV,RadioCallSign  UKOC,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90SC,90SC,AKADEMIK SHIRSHOV,UMAY,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90BQ,90BQ,AKADEMIK SHOKALSKIY,UUPB,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90BR,90BR,AKADEMIK SHULEYKIN,UBNZ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90VE,90VE,AKADEMIK VERNADSKIY,ULYN,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90FH,90FH,AKADEMIK VLADIMIRSKIY,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90WC,90WC,AKADEMIK ZERNOV,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
49B1,49B1,AKASHI,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
41AK,41AK,AKBAR,RadioCallSign ATGH,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
49AE,49AE,AKEBONO-MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AH,90AH,AKHILL,UUVQ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
