ship_nodc,ship_name,remarks,source_url
67AA,Admiral Arciszewski,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74W3,Admiral Beaufort,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
321P,"Admiral Callaghan
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
323K,"Admiral E. J. King
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74W4,Admiral Fitzroy,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
9007,Admiral Kornilov,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
9076,Admiral Makarov,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
64E8,Admiralengracht,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
26AJ,Adolf Jensen,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
098O,Adrenalin Sprint,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
32A2,"Adria
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
26W8,Adrian Maersk,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
313A,Adroit,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
09Y4,"Advance
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
311A,Advance,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
32AD,"Advance II
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33AD,"Advance IV
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33O4,Advantage,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
BHRL,Adventure of the Seas,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
32VR,"Adventurer
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
32QQ,Adventurous,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74ET,"Advice
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
36AE,Aegaeo,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
36YJ,Aegean Dignity,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
4957,Aegean Highway,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
PA5U,Aegean Leader,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
PAWZ,Aegean Mariner,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
58AU,"Aeger
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
46A2,Aegir,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
46AE,Aegir,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
58KS,Aegir 6000,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
64AE,"Aegis
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
PAAP,"Aegis Britannic
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
36A2,"Aegli
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90A8,Aelita,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AE,"Aeolus
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90JR,"Aerolog
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
902D,"Afeliy
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31A8,Affray,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
06YN,Afif,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
32AC,"African Comet
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31Z6,"African Crescent
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
54GA,African Gardenia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
311F,African Lightning,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
32AF,"African Meteor
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31FW,"African Rainbow
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
32AB,"African Star
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
91AG,Africana,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
91AE,"Africana I
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
91AF,"Africana II
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
CYAP,Afris Pioneer,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
29AM,Agamenon,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
67Q6,Agat,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90EC,"Agat
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
58CQ,Agatha,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
26A3,Agdlek,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
261G,"Agent Petersen
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31GQ,Agerholm,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31A6,Aggressive,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AV,Agile,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74AG,Agincourt,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
48BF,"Agip Abruzzo
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
77AG,"Agne
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
09X3,"Agnes James
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
LA84,Agnese,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
354A,Agorreta,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
26A2,Agpa,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
491A,"Ags No 1
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
492A,"Ags No 2
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
