,net_lat,net_lon,gebco_lat,gebco_lon,ctd_depth,gebco_depth
49227,33.486666,-117.768333,33.485416666666666,-117.76875000000001,62.0,74
49228,32.99,-120.355,32.98958333333333,-120.35625,1498.0,759
49229,33.76,-118.626666,33.76041666666667,-118.62708333333333,611.0,867
49230,34.18,-119.51,34.18124999999999,-119.51041666666666,129.0,180
49231,35.023333,-120.918333,35.02291666666666,-120.91875,239.0,241
49232,33.233333,-121.48,33.23125,-121.48125,3730.0,3813
49233,32.846666,-117.53,32.84791666666666,-117.53125,853.0,854
49234,32.323333,-121.711666,32.32291666666667,-121.71041666666667,4058.0,4033
49235,32.323333,-121.711666,32.32291666666667,-121.71041666666667,4058.0,4033
49236,32.511666,-118.211666,32.51041666666667,-118.21041666666667,1602.0,1672
49237,32.323333,-121.711666,32.32291666666667,-121.71041666666667,4058.0,4033
49238,33.233333,-121.48,33.23125,-121.48125,3730.0,3813
49239,33.76,-118.626666,33.76041666666667,-118.62708333333333,611.0,867
49240,34.18,-119.51,34.18124999999999,-119.51041666666666,129.0,180
49241,33.485,-122.536666,33.485416666666666,-122.53541666666666,3617.0,4001
49242,35.023333,-120.918333,35.02291666666666,-120.91875,239.0,241
49243,32.99,-120.355,32.98958333333333,-120.35625,1498.0,759
49244,32.415,-119.961666,32.414583333333326,-119.96041666666667,845.0,856
49245,32.415,-119.961666,32.414583333333326,-119.96041666666667,845.0,856
49246,31.915,-124.17,31.914583333333326,-124.16875,4465.0,4212
49247,32.415,-119.961666,32.414583333333326,-119.96041666666667,845.0,856
49248,34.45,-120.523333,34.44791666666667,-120.52291666666667,70.0,76
49249,31.915,-124.17,31.914583333333326,-124.16875,4465.0,4212
49250,33.251666,-118.251666,33.25208333333333,-118.25208333333333,488.0,298
49251,34.053333,-122.941666,34.05208333333333,-122.93958333333333,2217.0,4249
49252,33.326666,-119.635,33.327083333333334,-119.63541666666666,67.0,74
49253,33.746666,-120.41,33.74791666666667,-120.41041666666666,964.0,1037
49254,31.751666,-121.313333,31.75208333333333,-121.31458333333333,3602.0,3740
49255,31.751666,-121.313333,31.75208333333333,-121.31458333333333,3602.0,3740
49256,34.388333,-122.246666,34.389583333333334,-122.24791666666667,4014.0,4022
