cast_no,cast_id,ncdepth,nodepths
344,20-18025S-MX-038-08:32-08330700,25.417112,15
345,20-18025S-MX-038-14:05-08330800,44.770501,16
346,20-18025S-MX-038-19:39-08330900,102.988327,14
347,20-18025S-MX-039-00:46-08331000,102.947368,14
348,20-18025S-MX-039-05:34-08001000,91.42105599999999,16
349,20-18025S-MX-039-10:39-08000900,66.01563,15
350,20-18025S-MX-039-16:24-08000800,36.44828,16
351,20-18025S-MX-039-22:03-08000700,50.844595,16
352,20-18025S-MX-040-03:47-08000600,32.380954,15
353,20-18025S-MX-040-07:40-08000550,21.654135,16
354,20-18025S-MX-040-11:41-08000510,21.370969,9
355,20-18025S-MX-040-17:01-07670490,17.446814,8
356,20-18025S-MX-040-19:12-07670510,21.818183,16
357,20-18025S-MX-040-22:23-07670550,32.419361,16
358,20-18025S-MX-041-02:07-07670600,23.842105,16
359,20-18025S-MX-041-07:12-07670700,53.076923,15
360,20-18045S-MX-095-22:28-09340264,17,5
361,20-18045S-MX-096-00:57-09170264,9.672897000000001,5
362,20-18045S-MX-096-03:21-09330280,25.434783,16
363,20-18045S-MX-096-05:56-09330300,31.369863,16
364,20-18045S-MX-096-09:34-09330350,27.407407,16
365,20-18045S-MX-096-13:54-09330400,33.013699,16
366,20-18045S-MX-096-22:06-09330500,41.730104,16
367,20-18045S-MX-097-01:48-09330550,64.305556,16
368,20-18045S-MX-097-05:23-09330600,65.714286,16
369,20-18045S-MX-097-10:38-09330700,51.824001,16
370,20-18045S-MX-097-21:23-09330900,94.34463700000001,16
371,20-18045S-MX-098-02:46-09331000,89.44624399999999,16
372,20-18045S-MX-098-07:54-09331100,105.2,16
373,20-18045S-MX-098-13:14-09331200,106.280196,15
374,20-18045S-MX-099-00:56-09001100,101.996878,16
375,20-18045S-MX-099-07:24-09001000,90.983051,16
376,20-18045S-MX-099-14:20-09000900,89.794038,15
377,20-18045S-MX-100-01:57-09000700,87.66667,16
378,20-18045S-MX-100-07:34-09000600,48.97059,16
379,20-18045S-MX-100-12:30-09000530,30.714298,16
380,20-18045S-MX-100-23:37-09000370,22.666672,16
381,20-18045S-MX-101-02:34-09000350,22.200489,15
382,20-18045S-MX-101-06:27-09000300,21.714292,16
383,20-18045S-MX-101-09:21-09000277,17.986118,6
384,20-18045S-MX-101-10:20-09000280,11.906977,9
385,20-18045S-MX-101-13:35-08850301,10.416669,6
386,20-18045S-MX-101-21:43-08680325,15.437956,6
387,20-18045S-MX-101-23:20-08670350,11.369195,16
388,20-18045S-MX-102-02:50-08540358,1,7
389,20-18045S-MX-102-06:08-08670400,2,16
390,20-18045S-MX-102-11:19-08670450,3,15
391,20-18045S-MX-104-00:50-08670600,58.142861,16
392,20-18045S-MX-104-07:41-08670700,68.14285700000001,16
393,20-18045S-MX-104-22:03-08670900,87.95366799999999,15
394,20-18045S-MX-105-03:38-08671000,90.564986,15
395,20-18045S-MX-105-08:47-08671100,102.513838,16
396,20-18045S-MX-105-20:50-08331000,91.31068500000001,16
397,20-18045S-MX-106-02:20-08330900,78.315789,16
398,20-18045S-MX-106-07:37-08330800,63.3,15
399,20-18045S-MX-106-13:26-08330700,62.399366,16
400,20-18045S-MX-106-23:34-08330550,2,16
401,20-18045S-MX-107-03:11-08330510,2,11
402,20-18045S-MX-107-08:49-08330420,3,13
403,20-18045S-MX-107-11:28-08330406,2,7
404,20-18045S-MX-107-13:02-08330394,2,5
405,20-18045S-MX-107-16:12-08170435,2,5
406,20-18045S-MX-108-00:02-08000505,1,5
407,20-18045S-MX-108-00:50-08000510,2,9
408,20-18045S-MX-108-03:48-08000550,3,17
409,20-18045S-MX-108-07:36-08000600,2,16
410,20-18045S-MX-108-20:04-08000800,61.650497,16
411,20-18045S-MX-109-01:28-08000900,63.575758,16
412,20-18045S-MX-109-06:52-08001000,90.20379800000001,16
413,20-18045S-MX-109-21:48-07670900,74.037037,16
414,20-18045S-MX-110-03:31-07670800,61.009174,16
415,20-18045S-MX-110-08:51-07670700,63.66372,16
416,20-18045S-MX-110-14:43-07670600,61.818182,16
417,20-18045S-MX-110-22:10-07670510,2,16
418,20-18045S-MX-111-00:51-07670490,2,9
419,20-18045S-MX-111-06:19-07330500,2,5
420,20-18045S-MX-111-09:37-07330550,2,10
421,20-18045S-MX-111-13:53-07330600,2,10
422,20-18045S-MX-111-19:09-07330700,22.485501,10
423,20-18045S-MX-112-00:59-07330800,64.25856899999999,10
424,20-18045S-PR-095-20:42-09330267,10.967742,11
425,20-18045S-PR-096-17:59-09330450,24.169096,19
426,20-18045S-PR-097-17:02-09330800,100.173913,18
427,20-18045S-PR-098-18:45-09001200,94.552764,17
428,20-18045S-PR-099-20:15-09000800,87.31329100000001,18
429,20-18045S-PR-100-18:07-09000450,2,16
430,20-18045S-PR-101-18:33-08670330,14.045872,8
431,20-18045S-PR-102-15:35-08670500,2,10
432,20-18045S-PR-103-20:14-08670550,46.76193,16
433,20-18045S-PR-104-17:13-08670800,85.142241,19
434,20-18045S-PR-105-16:00-08331100,114.645283,19
435,20-18045S-PR-106-19:23-08330600,2,17
436,20-18045S-PR-107-18:25-08180469,2,15
437,20-18045S-PR-108-15:30-08000700,45.17583,18
438,20-18045S-PR-109-16:04-07671000,94.66668300000001,18
439,20-18045S-PR-110-18:44-07670550,2,19
440,20-1806SR-MX-160-21:03-09330280,20.314305,16
441,20-1806SR-MX-161-00:00-09330300,30.816024,16
442,20-1806SR-MX-161-04:20-09330350,31.222494,16
443,20-1806SR-MX-161-08:45-09330400,30.533225,16
444,20-1806SR-MX-161-13:05-09330450,21.763359,16
445,20-1806SR-MX-161-21:41-09330550,32.262781,16
446,20-1806SR-MX-162-01:57-09330600,46.756757,16
447,20-1806SR-MX-162-08:06-09330700,37.02411,15
448,20-1806SR-MX-162-14:14-09330800,52.597403,16
449,20-1806SR-MX-163-02:29-09331000,81.930697,16
